Nama,Wilayah,Kategori,Rating,Status,lat,lng
Ayam Bakar & Goreng Sultan,Kota Bandung,Ayam Bakar,4.6,Buka,-6.903354143303165,107.62751191775347
Ayam Bakar 76 Sekeloa Timur,Kota Bandung,Ayam Bakar,4.6,Buka,-6.928217601910521,107.6172450669118
AYAM BAKAR ARTOMORO BANDUNG,Kota Bandung,Ayam Bakar,4.6,Buka,-6.901380874115902,107.61775015631395
Ayam Semar Pandawa,Kota Bandung,Ayam Bakar,4.6,Buka,-6.923329219780521,107.6147275206474
"Ayam Bakar, Ayam Goreng, dan Nasi Bakar Jalan Ciliwung 43",Kota Bandung,Ayam Bakar,4.6,Buka,-6.917118950096627,107.63735367578136
Ayam Bakar 76,Kota Bandung,Ayam Bakar,4.6,Buka,-6.9228532338544415,107.61813309238302
Ayam kalio,Kota Bandung,Ayam Bakar,4.6,Buka,-6.928108608154225,107.6286784120287
Ayam Goreng & Bakar Sari Harum,Kota Bandung,Ayam Bakar,4.6,Buka,-6.914856507163724,107.60470150605059
Ayam Goreng Sari Manis Suniaratu,Kota Bandung,Ayam Bakar,4.6,Buka,-6.92541930394876,107.60949949654463
Pecel Lele Sambal Mangga Cak Hadi,Kota Bandung,Pecel Lele,4.2,Buka,-6.919943810378415,107.6089230921671
Pecel Lele N'dut Bandung,Kota Bandung,Pecel Lele,4.2,Buka,-6.908638372686782,107.6016298406822
Nasi Pecel Lele Cak Muji,Kota Bandung,Pecel Lele,4.2,Buka,-6.901580848994518,107.60095000983009
Pecel Lele Podho Moro,Kota Bandung,Pecel Lele,4.2,Buka,-6.910325572341805,107.6282300240533
Pecel Lele Cak Fauzi,Kota Bandung,Pecel Lele,4.2,Buka,-6.932266619894473,107.61680884984173
Pecel Lele Lamongan Sabar Menanti,Kota Bandung,Pecel Lele,4.2,Buka,-6.918765074456992,107.61105872842397
Pecel lele madura,Kota Bandung,Pecel Lele,4.2,Buka,-6.9065602606207595,107.60327244702388
Warung Pecel Lele Pak Mat RSHS,Kota Bandung,Pecel Lele,4.2,Buka,-6.90135927685942,107.6161306043523
Pecel LELE mas ARI,Kota Bandung,Pecel Lele,4.2,Buka,-6.922322196454386,107.62617360377456
Ayam goreng dan pecel lele klenger,Kota Bandung,Pecel Lele,4.2,Buka,-6.928074035528292,107.61350278304158
Pecel Lele Sapujagat,Kota Bandung,Pecel Lele,4.2,Buka,-6.901525535893584,107.60300729636614
Warung Pecel Lele Kebon Bibit,Kota Bandung,Pecel Lele,4.2,Buka,-6.929310519005199,107.61305002650927
Pecel Lele PPI,Kota Bandung,Pecel Lele,4.2,Buka,-6.9130020667811305,107.60439990132637
Pecel Lele Lamongan Pak Anas,Kota Bandung,Pecel Lele,4.2,Buka,-6.921866192690524,107.60409634769184
PECEL LELE PUTRA RONGGOLAWE 21,Kota Bandung,Pecel Lele,4.2,Buka,-6.9101393575524535,107.63139598135132
"Warung Pecel Lele Lamongan, Dago Pojok",Kota Bandung,Pecel Lele,4.2,Buka,-6.903905499484169,107.61093421018866
PECEL LELE ZAHRA HAUR PANCUH,Kota Bandung,Pecel Lele,4.2,Buka,-6.909151568853673,107.63382942817162
Pecel Lele,Kota Bandung,Pecel Lele,4.2,Buka,-6.9036444187483,107.6069560358073
Pecel Lele IBONG,Kota Bandung,Pecel Lele,4.2,Buka,-6.909040738811125,107.63486322357363
Warung Nasi Uduk Lele Pak Imam,Kota Bandung,Pecel Lele,4.2,Buka,-6.919548106102839,107.61501170849141
Sate Maulana Yusuf,Kota Bandung,Sate,4.5,Buka,-6.900461732419777,107.63164618456136
Waroeng Sate Pak Gito Bandung,Kota Bandung,Sate,4.5,Buka,-6.927636882474223,107.63125798994632
Sate Hadori (Pusat),Kota Bandung,Sate,4.5,Buka,-6.914755062273839,107.63363985939246
Sate Maranggi Engkoh Haji by Ko Angga,Kota Bandung,Sate,4.5,Buka,-6.912773191013213,107.60019128586214
Sate Jando Gasibu Bandung,Kota Bandung,Sate,4.5,Buka,-6.9291356088451845,107.60273482017035
Warung Sate Sidareja Pak Gino,Kota Bandung,Sate,4.5,Buka,-6.918570301261572,107.63230067569066
Sate Anggrek,Kota Bandung,Sate,4.5,Buka,-6.917403949875157,107.62543461136855
Warung Sate HM Harris,Kota Bandung,Sate,4.5,Buka,-6.905105990126111,107.63090063311509
Waroeng Sate Kardjan,Kota Bandung,Sate,4.5,Buka,-6.920750623709388,107.62994697533996
Sate Maranggi Haji Yetty Cabang Bandung,Kota Bandung,Sate,4.5,Buka,-6.9260362775288895,107.6200118280131
Sate Gandapura,Kota Bandung,Sate,4.5,Buka,-6.902337451531971,107.61890103065446
Sate Tegal Marem,Kota Bandung,Sate,4.5,Buka,-6.903561943621495,107.61302358464911
Sate Ayu,Kota Bandung,Sate,4.5,Buka,-6.9179870119834925,107.6102166399004
Sate Cak Gendut Tirtayasa,Kota Bandung,Sate,4.5,Buka,-6.898337488712765,107.62370283372336
Warung Sate Bu Ngantuk,Kota Bandung,Sate,4.5,Buka,-6.91366460895886,107.60610769418406
Sate Pak Kumis 999,Kota Bandung,Sate,4.5,Buka,-6.921226346011497,107.59945299848776
Sate Dj,Kota Bandung,Sate,4.5,Buka,-6.919646890940547,107.63795740473087
"Sate Asin Pedas Mr Monju, Gasibu",Kota Bandung,Sate,4.5,Buka,-6.924850150779563,107.60438418602862
Sate Monju,Kota Bandung,Sate,4.5,Buka,-6.916690879496357,107.62912381910445
Sate Dan Gule Pak Mino,Kota Bandung,Sate,4.5,Buka,-6.900489256849718,107.6013083560729
Sate Ayu Imam Bonjol,Kota Bandung,Sate,4.5,Buka,-6.905268280189207,107.62390031289644
Warung Mas Acong Sate Ane-Ane Cisangkuy,Kota Bandung,Sate,4.5,Buka,-6.928575360525179,107.60871390625059
Sate Padang Ajo Pariaman,Kota Bandung,Sate,4.5,Buka,-6.908539749011323,107.61282843941672
Padang Merdeka Bandung,Kota Bandung,Nasi Padang,4.5,Buka,-6.905072413998667,107.63267531023726
Rm uni Kapau Jaya,Kota Bandung,Nasi Padang,4.5,Buka,-6.914225694071803,107.62266091799663
Rumah Makan Pagi Sero ( Khas Bukittinggi),Kota Bandung,Nasi Padang,4.5,Buka,-6.900737086145634,107.61635535921592
Sari Bundo,Kota Bandung,Nasi Padang,4.5,Buka,-6.9054769803426845,107.61092656439303
Singgalang Jaya,Kota Bandung,Nasi Padang,4.5,Buka,-6.901183699502941,107.617946678025
Rumah Makan Padang Bahagia,Kota Bandung,Nasi Padang,4.5,Buka,-6.919049630850329,107.6152676164342
Rumah Makan Masakan Padang BuMus Cimanuk,Kota Bandung,Nasi Padang,4.5,Buka,-6.931611092457385,107.59939540976839
Pagi Sore Bandung,Kota Bandung,Nasi Padang,4.5,Buka,-6.923345818473955,107.61813423172352
Rumah Makan Padang Sari Banua,Kota Bandung,Nasi Padang,4.5,Buka,-6.906534493422962,107.63393933747437
Nasi Padang Uni MAR,Kota Bandung,Nasi Padang,4.5,Buka,-6.91161212621624,107.60574618547541
Bajamba Kapau,Kota Bandung,Nasi Padang,4.5,Buka,-6.904694511402089,107.62553231326595
Nasi Padang Sarumpun Rayo,Kota Bandung,Nasi Padang,4.5,Buka,-6.911011903665986,107.6365556080357
Rumah Makan Padang - Malah Dicubo,Kota Bandung,Nasi Padang,4.5,Buka,-6.908628383061519,107.62488183558878
Mande Kanduang,Kota Bandung,Nasi Padang,4.5,Buka,-6.927479866641477,107.60842294359749
Rumah Makan Padang BaBEDA,Kota Bandung,Nasi Padang,4.5,Buka,-6.907243258122664,107.61493568354574
Rumah Makan Boga Raso,Kota Bandung,Nasi Padang,4.5,Buka,-6.904773897882085,107.61274708634409
Narendang,Kota Bandung,Nasi Padang,4.5,Buka,-6.9006187130974475,107.62244603218022
Soto Padang Uda Ujang DU,Kota Bandung,Nasi Padang,4.5,Buka,-6.930933410557165,107.63763749352424
PADANG KEREN,Kota Bandung,Nasi Padang,4.5,Buka,-6.909371416582785,107.61221518507175
RM PADANG SAIYO CIKUTRA,Kota Bandung,Nasi Padang,4.5,Buka,-6.929218270136729,107.63377270716644
"Spesial Soto Boyolali (SSB) Hj Hesti Widodo, Trunojoyo",Kota Bandung,Soto,4.5,Buka,-6.905493325390499,107.61625076794031
Soto Bandung M.Otto,Kota Bandung,Soto,4.5,Buka,-6.930820205879078,107.6329150325569
Soto Bandung M Tarya,Kota Bandung,Soto,4.5,Buka,-6.929794461202943,107.63873203084721
Soto Bandung Pak Simon,Kota Bandung,Soto,4.5,Buka,-6.933185938209153,107.61208495779519
Soto Bangkok asli Semarang,Kota Bandung,Soto,4.5,Buka,-6.922191265483895,107.62848030888668
Soto sulung soto ayam khas madura,Kota Bandung,Soto,4.5,Buka,-6.898137339417694,107.62764377837235
Soto Mie Bogor Pak Kadir Bandung,Kota Bandung,Soto,4.5,Buka,-6.904242137626105,107.60854096269158
Soto Ayam Garang Asem Bangkok Asli Semarang,Kota Bandung,Soto,4.5,Buka,-6.92898746943384,107.60110552374367
Soto Ojolali,Kota Bandung,Soto,4.5,Buka,-6.912585632651473,107.62331787903443
Gebyar Soto Sulung Dan Soto Ayam,Kota Bandung,Soto,4.5,Buka,-6.926094348007513,107.63825806989452
Soto Mascuy Khas Madura,Kota Bandung,Soto,4.5,Buka,-6.9356762446821545,107.6169461591842
Soto Banjir Karang Anyar Sejak 1955,Kota Bandung,Soto,4.5,Buka,-6.91490384568549,107.62388410593127
Soto Sulung Cihampelas,Kota Bandung,Soto,4.5,Buka,-6.903583034108413,107.6250198034999
Soto Seger Garang Asem Handayani,Kota Bandung,Soto,4.5,Buka,-6.914690905252514,107.62395504701489
Soto Koya Lamongan,Kota Bandung,Soto,4.5,Buka,-6.900406796063705,107.636064635798
SOTO Pak SUN'AN,Kota Bandung,Soto,4.5,Buka,-6.921132663707525,107.637233898854
Soto Lamongan dan Ayam Penyet,Kota Bandung,Soto,4.5,Buka,-6.926975004299912,107.6299728441574
Soto Banyumas Taman Gasibu 1,Kota Bandung,Soto,4.5,Buka,-6.92332404726695,107.63207742950942
SOTO BANJAR IBU NOOR,Kota Bandung,Soto,4.5,Buka,-6.899186065975701,107.63781947804593
Nasi Goreng Dona,Kota Bandung,Nasi Goreng,4.4,Buka,-6.912484251739557,107.62564447500677
Nasi Goreng Rempah Mafia Dipati Ukur,Kota Bandung,Nasi Goreng,4.4,Buka,-6.916451852634367,107.63317995278022
Nasi Goreng Wong Jowo,Kota Bandung,Nasi Goreng,4.4,Buka,-6.903593261550002,107.63270308903698
Nasi Goreng Solo,Kota Bandung,Nasi Goreng,4.4,Buka,-6.900758193800649,107.61779753802502
Nasi Goreng Tiarbah Bandung Timur,Kota Bandung,Nasi Goreng,4.4,Buka,-6.925164460213956,107.62696484202952
Pondok Nasi Goreng Cak Jali,Kota Bandung,Nasi Goreng,4.4,Buka,-6.911309903843354,107.61643830653895
Nasi Goreng Portal GG,Kota Bandung,Nasi Goreng,4.4,Buka,-6.916184477799111,107.60869643916871
Nasi Goreng Mas Baridin,Kota Bandung,Nasi Goreng,4.4,Buka,-6.925465985095513,107.63314605846217
Nasi goreng Jaman Now,Kota Bandung,Nasi Goreng,4.4,Buka,-6.924616945044868,107.6021714551277
Nasi Goreng Merakyat - Martadinata,Kota Bandung,Nasi Goreng,4.4,Buka,-6.904595891293906,107.63017829189157
Nasi Goreng Mas Yono,Kota Bandung,Nasi Goreng,4.4,Buka,-6.913152538253254,107.63820534351954
Nasi Goreng JEEBOTZ Cisangkuy,Kota Bandung,Nasi Goreng,4.4,Buka,-6.907530181513105,107.6331655203124
Nasi Goreng Kambing & Seafood Bang Oedin,Kota Bandung,Nasi Goreng,4.4,Buka,-6.934881949419809,107.60267448115329
Nasi Goreng NKA II,Kota Bandung,Nasi Goreng,4.4,Buka,-6.907995796332852,107.61547460589037
Kuwali by Nasgor Tiarbah Bandung,Kota Bandung,Nasi Goreng,4.4,Buka,-6.907191282981859,107.62843054126628
Nasi Goreng LAKSANA,Kota Bandung,Nasi Goreng,4.4,Buka,-6.915105823461851,107.63899355875263
Nasi Goreng F15,Kota Bandung,Nasi Goreng,4.4,Buka,-6.924106884218609,107.61782886509539
Nasi Goreng Ala Cek Acong,Kota Bandung,Nasi Goreng,4.4,Buka,-6.936472359917127,107.6026776251424
Nasi Goreng Putra Bengawan,Kota Bandung,Nasi Goreng,4.4,Buka,-6.901542557243833,107.6205220883913
Nasi Goreng ZebbotZ,Kota Bandung,Nasi Goreng,4.4,Buka,-6.90290892364134,107.60157841701594
Nasi Goreng Padang Surya Bundo,Kota Bandung,Nasi Goreng,4.4,Buka,-6.910697379366636,107.60561572815021
"Nasi Goreng Barokah Mas Kholis, tuisba",Kota Bandung,Nasi Goreng,4.4,Buka,-6.907496560953215,107.62082019716048
Bakmie Ayam 58 - Teuku Umar,Kota Bandung,Bakmie,4.5,Buka,-6.902402467574218,107.61729577001759
BAKMIE 96 (CIBEUNYING),Kota Bandung,Bakmie,4.5,Buka,-6.917900641868281,107.62202141582183
Bakmie Tjo Kin,Kota Bandung,Bakmie,4.5,Buka,-6.916879924244186,107.61697580681039
Bakmi Jowo DU 67,Kota Bandung,Bakmie,4.5,Buka,-6.921097253619049,107.63337364648015
BAKMIE 96 (SUKAJADI),Kota Bandung,Bakmie,4.5,Buka,-6.9155557776607814,107.60479844817792
Bakmi Apin Bandung Sukajadi,Kota Bandung,Bakmie,4.5,Buka,-6.908944534450882,107.63036339903425
Bakmi Tjeng,Kota Bandung,Bakmie,4.5,Buka,-6.912382549076231,107.62269744864207
Bakmie Tjo Kin (Braga),Kota Bandung,Bakmie,4.5,Buka,-6.904608893521981,107.62055518408938
"Bakmie Curry & bbq "" Mee Hao""",Kota Bandung,Bakmie,4.5,Buka,-6.923345724072999,107.60673632147325
"Bakmi Jawa ""Plengkung Gading"" ( Bakmi PG )",Kota Bandung,Bakmie,4.5,Buka,-6.90047219649614,107.62650899960887
Toko Bakmie Pilar,Kota Bandung,Bakmie,4.5,Buka,-6.912127723471822,107.60210509527619
Bakmie Ayam 58 - Dalem Kaum,Kota Bandung,Bakmie,4.5,Buka,-6.9316346410614225,107.63814935568377
Bakmie Maman 3 Gardujati,Kota Bandung,Bakmie,4.5,Buka,-6.903030541736033,107.6064210434429
Bakmi Jogja Bengawan,Kota Bandung,Bakmie,4.5,Buka,-6.921342206504134,107.61264308105825
Bakmie Nanjaya,Kota Bandung,Bakmie,4.5,Buka,-6.9363230242781135,107.63788989437832
Bakmi Tasik 88,Kota Bandung,Bakmie,4.5,Buka,-6.8986727273877815,107.62501450996899
BADAMIE Bakmie,Kota Bandung,Bakmie,4.5,Buka,-6.920825029169922,107.61428799522086
Bakmi Rakata,Kota Bandung,Bakmie,4.5,Buka,-6.93709155385118,107.60802621768384
Lomie Imam Bonjol,Kota Bandung,Bakmie,4.5,Buka,-6.928582140249491,107.62837533166521
Bakmi Kaka Hasanudin,Kota Bandung,Bakmie,4.5,Buka,-6.929283272744737,107.60337765174522
GREAT DIMSUM BANDUNG 1 EX DIMSUM HOUSE,Kota Bandung,Dimsum,4.6,Buka,-6.935445260814676,107.63437600930101
Moekbang Dimsum,Kota Bandung,Dimsum,4.6,Buka,-6.9297727769085835,107.63412511281122
Red Dimsum 2 (cabang),Kota Bandung,Dimsum,4.6,Buka,-6.923937939751478,107.6041829145013
DEWA DIMSUM MARKAS 2,Kota Bandung,Dimsum,4.6,Buka,-6.931640309276318,107.61911819044109
Ada Dimsum | Frozen Food Bandung,Kota Bandung,Dimsum,4.6,Buka,-6.9267533971565225,107.62806153791796
du dimsum kedai 1,Kota Bandung,Dimsum,4.6,Buka,-6.913080975405263,107.6378121894201
Halaman Terakhir Dimsum,Kota Bandung,Dimsum,4.6,Buka,-6.928818996640664,107.60642188890924
GREAT DIMSUM BANDUNG 2 - Pusdai,Kota Bandung,Dimsum,4.6,Buka,-6.910411687451684,107.6310747727436
Yamcha Resto | Dimsum - Light Meal - Beverage | JL. Sumatera Bandung,Kota Bandung,Dimsum,4.6,Buka,-6.930435947284812,107.60736439106834
Dimsum L kitchen,Kota Bandung,Dimsum,4.6,Buka,-6.934806994751603,107.61660023001089
Dimsum Inmons,Kota Bandung,Dimsum,4.6,Buka,-6.903214504177525,107.60156007142075
Broo dimsum bandung,Kota Bandung,Dimsum,4.6,Buka,-6.898110187583561,107.63187758740897
Red Dimsum,Kota Bandung,Dimsum,4.6,Buka,-6.911093286818474,107.62081964209193
Dimsum Sembilan Naga (Non Halal),Kota Bandung,Dimsum,4.6,Buka,-6.925478379979837,107.60859185540099
"Dimsum Mentai Mitoha, Taman Cibeunying Utara",Kota Bandung,Dimsum,4.6,Buka,-6.919450914452821,107.63110390762735
Winglok Hongkong Dimsum Braga,Kota Bandung,Dimsum,4.6,Buka,-6.9334332529868865,107.61541839924352
Kedai Baper Dimsum Dipatiukur,Kota Bandung,Dimsum,4.6,Buka,-6.913460692559319,107.60508275843898
Rocket Dimsum,Kota Bandung,Dimsum,4.6,Buka,-6.910165523515842,107.60575137821186
Dimsum 220,Kota Bandung,Dimsum,4.6,Buka,-6.932860715275151,107.61541467367344
Dimsum Choie,Kota Bandung,Dimsum,4.6,Buka,-6.903964684047091,107.61956606091182
ARUKU DIMSUM KUAH KEJU,Kota Bandung,Dimsum,4.6,Buka,-6.903466410708741,107.6292670601571
Santuy Dimsum & Taichan,Kota Bandung,Dimsum,4.6,Buka,-6.908461039638406,107.6265670461164
Mie Ayam & Bakso Imami Haurpancuh Bandung,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.023721209846096,107.53782997463013
Bakso dan Mie Ayam Purna Rasa,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.029182790465854,107.50742192130299
Bakso Dono Reborn,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.015983392120944,107.52374799228804
Mie Ayam Bakso Bang Pe’i ( BP ),Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.024529737966118,107.5067539779661
WaLe Warung Lela,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.014885433380625,107.50565357647476
Jagonya Mie Ayam PAK AIP,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.033029518055069,107.52424960727565
Mie Ayam & Bakso Tomo,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.033694542990043,107.5012365190912
Mie Bakso Barokah,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.044011897346809,107.53808131913702
Mie Ayam Dan Bakso Khas Wonogiri,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.032931982632515,107.53697060617971
Bakso Rusuk Samanhudi Dago,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.044750683520444,107.51857057561928
Mie Ayam Baso Kondang Murah 2,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.016356098765082,107.51906829214595
Yan Bakso Solo,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.042112015389358,107.51914210037312
Mie Bakso & Mie Ayam Pak Kawit,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.006427039016906,107.52061320188963
Mie Baso Mas Basuki,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.00586097674303,107.5171407148467
Bakso dan Mie Ayam BERKAH,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.024831002866355,107.5287630010629
Master Mie Food & Factory,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.041534008247816,107.4997850271404
Mie Ayam Bakso Mbah Ali,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.0232720607323,107.52489421807186
Bakso kejar Defauri Putra Delima,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.0079985335542,107.52308978357948
Bakmi Domiekado dipatiukur,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.017826450730547,107.51083577391276
Mie Ayam Baso Wonogiri,Kab. Bandung,Bakso dan Mie Ayam,5.0,Buka,-7.039520205074415,107.53645955974
Sambal Bakar Ceu Asri,Kab. Bandung,Ayam Bakar,4.6,Buka,-7.035378574189474,107.534143442624
Bakakak bakar ABG,Kab. Bandung,Ayam Bakar,4.6,Buka,-7.019510663982819,107.53371067390465
Ayam Gepuk Terbang Sambal Mete,Kab. Bandung,Ayam Bakar,4.6,Buka,-7.014611982530489,107.5280915922989
Ayam Tulang Lunak Amboe,Kab. Bandung,Ayam Bakar,4.6,Buka,-7.023783848950776,107.50221120734196
Sambal Lalap,Kab. Bandung,Ayam Bakar,4.6,Buka,-7.024842444586124,107.50506135179891
Ayam Bakar Rica Ibu Imas,Kab. Bandung,Ayam Bakar,4.6,Buka,-7.021346992371172,107.51914666757084
Ayam Bakar Si Kewoy,Kab. Bandung,Ayam Bakar,4.6,Buka,-7.031841976571847,107.51758790729747
Warung Gazeboo,Kab. Bandung,Pecel Lele,4.6,Buka,-7.016545829302528,107.50842056427811
Pecel Lele Cak Feri,Kab. Bandung,Pecel Lele,4.6,Buka,-7.022581361970076,107.51379000161371
Ayam Sambal Geger Marem,Kab. Bandung,Pecel Lele,4.6,Buka,-7.015060617139446,107.53253772538466
Pecel lele H.Ahmad,Kab. Bandung,Pecel Lele,4.6,Buka,-7.0169043003955105,107.5014921311894
Sate Padang Serasi,Kab. Bandung,Sate,4.6,Buka,-7.015785499736826,107.50041146798421
Sate Sampang Madura,Kab. Bandung,Sate,4.6,Buka,-7.006197153821055,107.51379304973678
Sate Pedas Mas Pepen,Kab. Bandung,Sate,4.6,Buka,-7.022898171030968,107.52566251898642
Kedai Maranggi 35,Kab. Bandung,Sate,4.6,Buka,-7.022171380587347,107.51687675216255
Sate Suki Seafood,Kab. Bandung,Sate,4.6,Buka,-7.01976090045414,107.5193256701214
Warung Sate Solo Pak Sidik 3,Kab. Bandung,Sate,4.6,Buka,-7.033075180627589,107.52082968733473
Nasi padang + sunda berkah 38,Kab. Bandung,Nasi Padang,4.3,Buka,-7.044654837922374,107.53279138989289
Rumah Makan Padang Maimbau,Kab. Bandung,Nasi Padang,4.3,Buka,-7.01652105944652,107.50299088262314
RM Sakampuang,Kab. Bandung,Nasi Padang,4.3,Buka,-7.043145252598986,107.52769199835183
"Nasi Padang ""Surya Minang"" Dago Barat",Kab. Bandung,Nasi Padang,4.3,Buka,-7.020442118364189,107.53150314145013
Lamun Ombak,Kab. Bandung,Nasi Padang,4.3,Buka,-7.013516208839707,107.51299625909907
Takana Raso 1,Kab. Bandung,Nasi Padang,4.3,Buka,-7.031216225637553,107.50232193900283
Rumah Makan Koto Baru,Kab. Bandung,Nasi Padang,4.3,Buka,-7.006989287556103,107.50360541553222
Rumah Makan Ajo,Kab. Bandung,Nasi Padang,4.3,Buka,-7.0325354502447155,107.50768290040382
"Spesial Soto Boyolali (SSB) Hj. Hesti Widodo, Setiabudi",Kab. Bandung,Soto,4.5,Buka,-7.042791890050862,107.51946234177768
Warung soto bojo,Kab. Bandung,Soto,4.5,Buka,-7.0405385373441085,107.53372070618352
Soto Kuning Bi Neng Khas Bogor,Kab. Bandung,Soto,4.5,Buka,-7.020915480586228,107.52778755012837
"Soto kudus,garang asem,mangut BAROKAH",Kab. Bandung,Soto,4.5,Buka,-7.015339019497662,107.53491757423973
Kantin AA - Sekeloa,Kab. Bandung,Soto,4.5,Buka,-7.040387441241582,107.51820224469819
Sate & soto cak kacong jlan sadang saip no65 bisa Nerima pesanan,Kab. Bandung,Soto,4.5,Buka,-7.023994506446128,107.5324665075218
Sate dan Soto Mak Anjang Belitong,Kab. Bandung,Soto,4.5,Buka,-7.028482699372023,107.51014505497875
Warung Soto Pedes Teras 33,Kab. Bandung,Soto,4.5,Buka,-7.025258648931122,107.5160226652743
